DISTRICTE,date,source,value,window_7d_mean,window_30d_mean,District
01,2018-01-08,vri,0.0320076965162577,0.0323362863772613,,Ciutat Vella
08,2018-01-08,vri,0.0252274300098895,0.0255210233810768,,Nou Barris
10,2018-01-08,vri,0.0333863832488983,0.0338958717444997,,Sant Martí
09,2018-01-08,vri,0.0231272253390283,0.0234244801609517,,Sant Andreu
05,2018-01-09,vri,0.0235319574457805,0.023448556347523,,Sarrià-Sant Gervasi
03,2018-01-09,vri,0.0273769658634368,0.0273248105443156,,Sants-Montjuïc
04,2018-01-09,vri,0.0462580205810606,0.0461184917890858,,Les Corts
07,2018-01-09,vri,0.0300446187003212,0.0299864698387601,,Horta-Guinardó
06,2018-01-09,vri,0.0477856838551316,0.0475881762114217,,Gràcia
02,2018-01-09,vri,0.0410233346435239,0.0409276106378827,,Eixample
01,2018-01-09,vri,0.0324727577834244,0.0324547849199415,,Ciutat Vella
08,2018-01-09,vri,0.025668979794013,0.0256110749137086,,Nou Barris
10,2018-01-09,vri,0.0341445410873505,0.0340026576348844,,Sant Martí
09,2018-01-09,vri,0.0235604465546315,0.0234870431488436,,Sant Andreu
05,2018-01-10,vri,0.0236370670206662,0.0234515378848933,,Sarrià-Sant Gervasi
03,2018-01-10,vri,0.0275301986738445,0.0273214315858063,,Sants-Montjuïc
04,2018-01-10,vri,0.0462983825497209,0.0461536804853477,,Les Corts
07,2018-01-10,vri,0.0302199579063155,0.0300000330372426,,Horta-Guinardó
06,2018-01-10,vri,0.0479165813131354,0.047572558109895,,Gràcia
02,2018-01-10,vri,0.0410800255583245,0.0409467480293108,,Eixample
01,2018-01-10,vri,0.0325882904857071,0.0324510999632968,,Ciutat Vella
08,2018-01-10,vri,0.0258027759219988,0.0256149863032235,,Nou Barris
10,2018-01-10,vri,0.0342227944751049,0.0340061152669952,,Sant Martí
09,2018-01-10,vri,0.0237068179626259,0.0234976467138153,,Sant Andreu
05,2018-01-11,vri,0.0227200527689042,0.0235254128273537,,Sarrià-Sant Gervasi
03,2018-01-11,vri,0.0265481102985967,0.0273816976972877,,Sants-Montjuïc
04,2018-01-11,vri,0.0448723014018458,0.0462457946155374,,Les Corts
07,2018-01-11,vri,0.0291408336919492,0.030100289061182,,Horta-Guinardó
06,2018-01-11,vri,0.0460874500852781,0.0477112072348216,,Gràcia
02,2018-01-11,vri,0.0397580198340024,0.0410428983585012,,Eixample
01,2018-01-11,vri,0.0315498243267366,0.0325221520515373,,Ciutat Vella
08,2018-01-11,vri,0.0248742469285962,0.0257158436262337,,Nou Barris
10,2018-01-11,vri,0.0329457170157328,0.0341007180830635,,Sant Martí
09,2018-01-11,vri,0.0228466161891357,0.0235766198430083,,Sant Andreu
05,2018-01-12,vri,0.0239886395140263,0.0236944158484933,,Sarrià-Sant Gervasi
03,2018-01-12,vri,0.0279678505781679,0.0275874663329447,,Sants-Montjuïc
04,2018-01-12,vri,0.0471391842546392,0.046586283562428,,Les Corts
07,2018-01-12,vri,0.0306048508476701,0.0303054397283455,,Horta-Guinardó
06,2018-01-12,vri,0.0486831440967593,0.0480357239297273,,Gràcia
02,2018-01-12,vri,0.0419238655980063,0.0413404126472134,,Eixample
01,2018-01-12,vri,0.0332686656987157,0.0327389285918383,,Ciutat Vella
08,2018-01-12,vri,0.026147744375177,0.0259058728439465,,Nou Barris
10,2018-01-12,vri,0.0348011800547606,0.0343501664526349,,Sant Martí
09,2018-01-12,vri,0.0239607872062054,0.023743267999458,,Sant Andreu
05,2018-01-13,vri,0.0240834155886768,0.023769179430656,,Sarrià-Sant Gervasi
03,2018-01-13,vri,0.0279552667922968,0.0276786827337818,,Sants-Montjuïc
04,2018-01-13,vri,0.0476712330148976,0.0467019525035691,,Les Corts
07,2018-01-13,vri,0.0308297850481519,0.0303970307342001,,Horta-Guinardó
06,2018-01-13,vri,0.048739582654168,0.0481893094944682,,Gràcia
02,2018-01-13,vri,0.0422013140034974,0.0414490048051478,,Eixample
01,2018-01-13,vri,0.0332773802811348,0.0328343910331681,,Ciutat Vella
08,2018-01-13,vri,0.0262898181601103,0.0259852299220573,,Nou Barris
10,2018-01-13,vri,0.0349562755043278,0.034443491716328,,Sant Martí
09,2018-01-13,vri,0.0241261301427467,0.0238124849575889,,Sant Andreu
05,2018-01-14,vri,0.0236462324883631,0.0237341755922981,,Sarrià-Sant Gervasi
