date,source,value,window_7d_mean,window_30d_mean
2021-03-08,vri,0.000113323029028289,,
2021-03-09,vri,0.000137257043595499,,
2021-03-10,vri,0.000152685192317821,,
2021-03-11,vri,0.000152441590824938,0.000179260801713116,
2021-03-12,vri,0.000141682982504412,0.00020608671697825,
2021-03-13,vri,0.00032338447265602,0.000245989613515801,
2021-03-14,vri,0.000234051301064829,0.000297202667122816,
2021-03-15,vri,0.000301104435884233,0.000305308677410606,
2021-03-16,vri,0.000416577319358351,,
2021-03-17,vri,0.00051117656756693,,
2021-03-18,vri,0.000209183662839466,,
