lon,lat,presence,date
2.1388620000000063,41.38611599381006,TRUE,2018-04-17
2.1603274345397874,41.39816283561243,TRUE,2018-04-24
2.160355329513552,41.39816665030964,TRUE,2018-04-25
2.1818805000000037,41.3912049938124,TRUE,2018-04-25
2.181889300000002,41.39124999381237,TRUE,2018-04-25
2.143684999999998,41.422702993826725,TRUE,2018-04-26
2.1603250503540035,41.39816665030964,TRUE,2018-04-26
2.1603424549102845,41.39816665030964,TRUE,2018-04-27
2.1603238582611124,41.39815902091515,TRUE,2018-05-03
2.1503990000000033,41.41266299382211,TRUE,2018-05-07
2.1603364944457977,41.39816665030963,TRUE,2018-05-07
2.1808863000000027,41.39157999381251,TRUE,2018-05-07
2.1206130000000005,41.38571999380987,TRUE,2018-05-09
2.160348892211912,41.39816665030964,TRUE,2018-05-11
2.142619609832761,41.39797973014355,TRUE,2018-05-19
2.164151668548579,41.42306136467646,TRUE,2018-05-19
2.1116452,41.40862699382032,TRUE,2018-05-23
2.1560761928558305,41.37609099722351,TRUE,2018-05-23
2.160357236862181,41.39816283561244,TRUE,2018-05-23
2.160391092300425,41.39817046500691,TRUE,2018-05-23
2.158403158187878,41.437591546567866,TRUE,2018-05-24
2.1659422000000013,41.41413499382278,TRUE,2018-05-24
2.1181957721710236,41.37836074209752,TRUE,2018-05-28
2.1597690582275457,41.43605040887185,TRUE,2018-05-28
2.118058204650885,41.37834166861122,TRUE,2018-05-31
2.115086799999999,41.38297999380865,TRUE,2018-06-02
2.1218376000000037,41.39238699381288,TRUE,2018-06-04
2.1736648000000005,41.409396993820636,TRUE,2018-06-05
2.161647799999998,41.38683699381036,TRUE,2018-06-07
2.1293530464172425,41.382743829257706,TRUE,2018-06-08
2.1383416652679372,41.404254907148385,TRUE,2018-06-08
2.1212084000000035,41.39874299381577,TRUE,2018-06-09
2.157088518142702,41.44025420526049,TRUE,2018-06-09
2.190379100000004,41.388119993810946,TRUE,2018-06-09
2.1592989999999976,41.41433299382287,TRUE,2018-06-10
2.179951000000003,41.40211999381735,TRUE,2018-06-10
2.185480000000005,41.397269993815144,TRUE,2018-06-11
2.1281679999999996,41.37499599380496,TRUE,2018-06-15
2.147181034088134,41.41484832145982,TRUE,2018-06-16
2.147551774978645,41.4121627745836,TRUE,2018-06-16
